Well identifier	Surface	MD
190	Ach8-1_top	3826.5
190	Ach8-1_bot	3873.5
190	baz	4128.0
192	Ach8-1_top	3732.4
192	Ach8-1_bot	3796.2
192	baz	3967.7
193	Ach8-1_top	3815.2
193	Ach8-1_bot	3897.9
193	baz	4179.3
194	Ach8-1_top	3722.4
194	Ach8-1_bot	3773.8
194	baz	3904.7
195	Ach8-1_top	3875.5
195	Ach8-1_bot	3933.6
195	baz	4132.0
196	Ach8-1_top	3822.7
196	Ach8-1_bot	3875.2
196	baz	4035.3
197	Ach8-1_top	3829.3
197	Ach8-1_bot	3903.4
197	baz	4115.0
198	Ach8-1_top	3694.8
198	Ach8-1_bot	3746.3
198	baz	3838.6
199	Ach8-1_top	3726.8
199	Ach8-1_bot	3809.9
199	baz	4164.3
210	Ach8-1_top	3705.5
210	Ach8-1_bot	3765.7
210	baz	3921.0
211	Ach8-1_top	3858.5
211	Ach8-1_bot	3936.6
211	baz	4147.3
212	Ach8-1_top	3781.8
212	Ach8-1_bot	3840.3
212	baz	4022.0
213	Ach8-1_top	3917.1
213	Ach8-1_bot	3963.3
213	baz	4164.0
214	Ach8-1_top	3728.4
214	Ach8-1_bot	3785.7
214	baz	3917.6
215	Ach8-1_top	3840.4
215	Ach8-1_bot	3901.9
215	baz	4090.0
216	Ach8-1_top	3869.2
216	Ach8-1_bot	3950.0
216	baz	4198.6
217	Ach8-1_top	3754.5
217	Ach8-1_bot	3812.3
217	baz	3944.4
218	Ach8-1_top	3764.3
218	Ach8-1_bot	3816.6
218	baz	3886.8
220	Ach8-1_top	3745.7
220	Ach8-1_bot	3799.2
220	baz	3988.8
221	Ach8-1_top	3990.5
221	Ach8-1_bot	4035.9
221	baz	4267.4
224	Ach8-1_top	3863.5
224	Ach8-1_bot	3897.9
224	baz	3949.4
230	Ach8-1_top	3682.3
230	Ach8-1_bot	3724.1
230	baz	3811.0
231	Ach8-1_top	3658.4
231	Ach8-1_bot	3707.7
231	baz	3791.5
232	Ach8-1_top	3572.9
232	Ach8-1_bot	3613.4
232	baz	3682.6
233	Ach8-1_top	3708.6
233	Ach8-1_bot	3771.7
233	baz	3867.0
234	Ach8-1_top	3706.4
234	Ach8-1_bot	3760.0
234	baz	3831.0
235	Ach8-1_top	3705.5
235	Ach8-1_bot	3756.3
235	baz	3935.3
236	Ach8-1_top	3818.3
236	Ach8-1_top	3819.3
236	Ach8-1_bot	3880.3
236	baz	3943.8
237	Ach8-1_top	3649.3
237	Ach8-1_top	3649.3
237	Ach8-1_bot	3711.1
237	baz	3816.4
239	Ach8-1_top	3754.4
239	Ach8-1_bot	3800.5
239	baz	3954.2
259	Ach8-1_top	4130.9
260	Ach8-1_top	4481.3
451	Ach8-1_top	3908.6
451	Ach8-1_bot	3944.5
451	baz	3982.9
469	Ach8-1_top	3866.9
469	Ach8-1_bot	3917.4
469	baz	3974.5
510	baz	3650.0
511	Ach8-1_top	3712.3
511	Ach8-1_bot	3763.2
511	baz	3910.0
512	Ach8-1_top	3549.5
512	Ach8-1_bot	3584.0
512	baz	3666.3
